first,last,pit_id,1b,2b,3b,hr,k,er,batters_faced
Alfredo,Aceves,aceva001,133,53,2,28,181,119,1058
Matt,Albers,albem001,183,34,2,24,196,153,1122
Henderson,Alvarez,alvah001,242,81,8,39,176,167,1484
Brett,Anderson,andeb004,208,51,2,20,214,110,1187
Jake,Arrieta,arrij001,256,82,9,55,314,227,1792
Bronson,Arroyo,arrob001,523,165,7,133,488,373,3440
John,Axford,axfoj001,177,33,6,26,338,112,1193
Burke,Badenhop,badeb001,181,44,9,18,182,136,1073
Homer,Bailey,bailh001,430,113,17,75,585,283,2781
Scott,Baker,bakes002,200,74,8,42,279,132,1340
Grant,Balfour,balfg001,118,39,2,22,265,88,1045
Brandon,Beachy,beacb001,148,38,4,27,275,93,1097
Blake,Beavan,beavb001,198,72,6,44,136,143,1217
Josh,Beckett,beckj002,339,103,9,70,464,258,2269
Erik,Bedard,bedae001,262,79,9,46,381,202,1761
Matt,Belisle,belim001,230,69,6,23,280,153,1315
Heath,Bell,bellh001,175,53,1,22,268,109,1115
Joaquin,Benoit,benoj001,133,30,4,33,322,102,1099
Brad,Bergesen,bergb002,194,95,8,44,160,180,1318
Chad,Billingsley,billc001,354,117,20,34,457,226,2328
Nick,Blackburn,blacn001,344,95,14,67,186,252,1818
Joe,Blanton,blanj001,428,118,14,90,446,306,2386
Mitchell,Boggs,boggm001,158,40,4,22,184,109,1031
Craig,Breslow,bresc001,150,54,4,21,215,118,1099
Zachary,Britton,britz001,199,50,4,22,168,133,1118
Clay,Buchholz,buchc001,347,98,6,51,422,198,2372
Mark,Buehrle,buehm001,618,171,10,88,472,356,3459
Madison,Bumgarner,bumgm001,474,132,14,65,699,267,3114
A.J.,Burnett,burna001,507,157,12,88,714,369,3385
Trevor,Cahill,cahit001,489,125,15,67,523,308,3159
Matt,Cain,cainm001,469,162,21,81,740,308,3647
Shawn,Camp,camps002,169,57,12,25,145,128,1025
Chris,Capuano,capuc001,365,129,10,72,468,248,2365
Fausto,Carmona,carmf001,394,118,10,67,348,288,2418
Chris,Carpenter,carpc002,374,95,10,44,412,210,2254
Andrew,Cashner,casha001,175,45,5,26,238,112,1190
Brett,Cecil,cecib001,259,90,7,55,325,206,1778
Jhoulis,Chacin,chacj001,365,115,19,51,459,240,2539
Tyler,Chatwood,chatt001,262,61,7,28,181,161,1403
Bruce,Chen,chenb001,392,126,11,81,413,282,2587
Wei-Yin,Chen,chenw001,214,71,5,46,261,147,1419
Tyler,Clippard,clipt001,131,37,6,36,378,124,1301
Alex,Cobb,cobba001,220,61,4,27,287,120,1422
Phil,Coke,cokep001,228,64,5,15,219,154,1240
Josh,Collmenter,collj001,210,59,2,39,271,123,1406
Bartolo,Colon,colob001,382,89,13,52,347,196,2125
Aaron,Cook,cooka002,274,73,9,35,130,193,1424
Patrick,Corbin,corbp001,200,63,10,33,264,123,1314
Kevin,Correia,corrk001,493,126,14,88,382,323,2821
Johnny,Cueto,cuetj001,397,110,9,52,466,215,2583
John,Danks,dankj001,388,107,12,72,416,267,2427
Yu,Darvish,darvy001,200,58,8,40,505,147,1684
Kyle,Davies,davik002,188,71,4,27,176,152,1110
Wade,Davis,daviw001,381,118,13,68,427,259,2452
Jorge,"de la Rosa",delaj001,219,85,1,35,283,148,1524
Randall,Delgado,delgr001,147,47,3,37,173,106,1021
Ryan,Dempster,dempr002,472,153,19,94,712,349,3282
Ross,Detwiler,detwr001,233,72,4,32,204,142,1439
Scott,Diamond,diams001,265,82,10,41,161,171,1471
R.A.,Dickey,dickr001,522,138,16,90,645,322,3459
Felix,Doubront,doubf001,237,77,10,41,339,192,1600
Brian,Duensing,duenb001,352,101,16,47,319,236,2003
Zach,Duke,dukez001,248,75,6,34,156,173,1266
Nathan,Eovaldi,eovan001,185,49,8,19,179,109,1122
Marco,Estrada,estrm001,214,69,8,51,371,171,1540
Scott,Feldman,felds001,351,95,12,54,336,251,2120
Doug,Fister,fistd001,600,146,14,55,572,303,3354
Gavin,Floyd,floyg001,398,99,13,62,471,265,2430
Jeff,Francis,franj003,386,121,13,57,297,270,2070
Yovani,Gallardo,gally001,522,135,12,85,771,335,3379
Freddy,Garcia,garcf002,338,105,11,78,332,239,2137
Jaime,Garcia,garcj004,427,103,10,40,453,233,2390
Jon,Garland,garlj001,212,62,7,35,196,149,1370
Matt,Garza,garzm001,422,114,10,78,583,277,2793
Chad,Gaudin,gaudc001,157,48,4,29,208,122,1048
Dillon,Gee,gee-d001,328,100,7,56,370,219,2145
Jeanmar,Gomez,gomej002,204,66,5,34,165,155,1269
Gio,Gonzalez,gonzg003,473,130,9,58,777,275,3400
Miguel,Gonzalez,gonzm003,160,52,5,37,205,115,1171
Tom,Gorzelanny,gorzt001,247,80,10,44,359,179,1715
Luke,Gregerson,gregl001,146,39,5,20,259,101,1100
Zack,Greinke,greiz001,521,155,21,72,760,324,3373
Jeremy,Guthrie,guthj001,534,187,16,111,461,385,3453
Roy,Halladay,hallr001,483,108,14,67,657,259,2996
Cole,Hamels,hamec001,491,168,14,90,848,302,3559
Jason,Hammel,hammj002,446,118,9,70,455,293,2658
Tommy,Hanson,hanst001,359,120,11,69,537,263,2490
J.A.,Happ,happj001,282,117,11,58,425,248,2113
Aaron,Harang,haraa001,407,136,15,76,450,294,2635
Dan,Haren,hared001,529,179,10,107,701,354,3411
Lucas,Harrell,harrl002,304,65,12,35,259,207,1739
Matt,Harrison,harrm001,345,98,12,49,333,215,2139
Jeremy,Hellickson,hellj001,333,106,14,78,410,238,2421
David,Hernandez,hernd002,143,47,3,28,318,118,1196
Felix,Hernandez,hernf002,597,129,15,65,893,309,3726
Livan,Hernandez,hernl003,350,90,12,47,261,223,1939
Luke,Hochevar,hochl001,338,117,23,67,430,279,2347
Derek,Holland,holld003,426,139,8,87,574,305,2869
Daniel,Hudson,hudsd001,234,78,9,35,296,151,1519
Tim,Hudson,hudst001,490,109,15,56,499,273,3116
Phil,Hughes,hughp001,400,132,11,96,504,308,2643
Philip,Humber,humbp001,239,66,9,47,253,189,1491
Tommy,Hunter,huntt002,316,70,10,78,272,208,1868
Hisashi,Iwakuma,iwakh001,188,62,4,42,286,111,1385
Edwin,Jackson,jacke001,549,179,28,81,650,384,3437
Ubaldo,Jimenez,jimeu001,453,156,26,68,731,339,3298
Josh,Johnson,johnj009,346,83,12,38,490,197,2158
Jim,Johnson,johnj010,193,33,4,17,181,108,1067
Jair,Jurrjens,jurrj001,218,75,14,36,201,142,1385
Jeff,Karstens,karsj001,265,78,4,51,234,175,1565
Scott,Kazmir,kazms001,203,69,8,45,255,166,1368
Joe,Kelly,kellj001,192,43,5,22,178,94,1116
Kyle,Kendrick,kendk001,437,139,16,78,369,309,2723
Ian,Kennedy,kenni001,462,177,18,101,724,346,3460
Clayton,Kershaw,kersc001,485,134,12,55,949,249,3660
Dallas,Keuchel,keucd001,193,45,5,34,161,137,1059
Hiroki,Kuroda,kuroh001,514,171,11,86,651,305,3423
John,Lackey,lackj001,421,138,17,64,450,291,2560
John,Lannan,lannj001,349,95,9,35,232,204,1926
Mat,Latos,latom001,476,134,22,73,751,290,3324
Brandon,League,leagb001,197,40,1,19,183,128,1126
Mike,Leake,leakm001,472,140,14,91,448,307,2872
Wade,LeBlanc,leblw001,252,79,8,45,237,169,1507
Sam,LeCure,lecus001,136,41,6,23,242,96,1031
Cliff,Lee,lee-c003,558,175,14,84,908,303,3654
Jon,Lester,lestj001,523,165,14,81,779,348,3572
Colby,Lewis,lewic001,298,102,13,79,502,228,2313
Ted,Lilly,lillt001,242,81,10,67,373,195,1896
Tim,Lincecum,linct001,511,160,20,80,897,343,3673
Francisco,Liriano,lirif001,427,106,15,51,660,282,2832
Kyle,Lohse,lohsk001,486,163,9,76,457,300,3023
Rodrigo,Lopez,loper001,211,77,8,55,172,171,1339
Wilton,Lopez,lopew001,212,49,6,20,208,123,1141
Derek,Lowe,lowed001,452,112,9,48,351,283,2407
Jordan,Lyles,lylej001,284,84,12,51,259,227,1684
Lance,Lynn,lynnl001,288,80,17,39,455,190,1913
Paul,Maholm,mahop002,487,169,16,63,444,318,2983
Shaun,Marcum,marcs001,374,116,12,72,497,277,2531
Carlos,Marmol,marmc001,121,35,2,17,373,111,1144
Jason,Marquis,marqj001,324,98,4,61,270,233,1941
Justin,Masterson,mastj001,586,129,6,56,654,345,3426
Daisuke,Matsuzaka,matsd001,166,59,2,32,233,154,1212
Brian,Matusz,matub001,269,82,4,56,318,199,1670
Vin,Mazzaro,mazzv001,217,40,3,29,163,138,1175
Zach,McAllister,mcalz001,181,76,3,33,225,144,1206
Brandon,McCarthy,mccab001,313,90,7,34,272,173,1736
Kyle,McClellan,mcclk001,144,46,2,34,150,110,1039
James,McDonald,mcdoj004,265,100,7,50,386,210,1910
Kris,Medlen,medlk001,289,82,8,39,370,153,1833
Luis,Mendoza,mendl001,206,61,7,29,166,139,1213
Wade,Miley,milew001,288,102,11,41,316,172,1834
Kevin,Millwood,millk004,320,66,11,52,275,218,1753
Tom,Milone,milot001,271,73,5,51,284,168,1593
Mike,Minor,minom001,296,117,8,61,451,215,2120
Matt,Moore,moorm003,192,69,3,34,348,142,1509
Brandon,Morrow,morrb001,275,122,6,56,531,244,2152
Charlie,Morton,mortc002,355,79,9,33,283,224,1891
Edward,Mujica,mujie001,159,44,8,38,232,111,1117
Brett,Myers,myerb001,354,97,12,69,393,249,2222
Chris,Narveson,narvc001,221,76,8,45,281,173,1505
Juan,Nicasio,nicaj001,191,79,11,32,231,151,1259
Jeff,Niemann,niemj001,203,63,10,45,274,151,1470
Jonathon,Niese,niesj001,489,138,9,66,546,298,2873
Ricky,Nolasco,nolar001,563,160,22,80,589,362,3237
Bud,Norris,norrb001,448,147,12,82,646,336,2983
Ivan,Nova,novai001,360,118,9,56,401,223,2256
Alexi,Ogando,ogana001,230,56,5,41,326,162,1635
Ross,Ohlendorf,ohler001,171,67,10,36,190,138,1148
Roy,Oswalt,oswar001,307,103,11,47,403,198,1953
Jonathan,Papelbon,papej001,157,39,2,24,312,106,1080
Jarrod,Parker,parkj001,255,74,3,37,287,150,1668
Manny,Parra,parrm001,161,48,3,26,247,130,1024
Felipe,Paulino,paulf001,189,54,9,20,255,128,1165
Carl,Pavano,pavac001,386,122,14,57,255,249,2157
Jake,Peavy,peavj001,365,105,12,70,511,265,2447
Mike,Pelfrey,pelfm001,458,119,18,46,332,264,2494
Brad,Penny,pennb002,226,68,6,34,120,157,1182
Joel,Peralta,peraj002,98,45,3,28,272,100,1023
Andy,Pettitte,petta001,292,73,5,40,317,160,1733
Joel,Pineiro,pinej001,231,63,12,31,154,141,1265
Rick,Porcello,porcr001,598,145,14,70,450,362,3074
David,Price,pricd001,514,145,13,74,784,294,3468
Chad,Qualls,qualc001,204,48,4,26,168,151,1078
Jose,Quintana,quinj001,221,66,6,37,245,136,1400
Clayton,Richard,richc002,410,117,8,68,337,270,2437
David,Robertson,robed002,157,34,4,18,343,97,1105
Fernando,Rodney,rodnf001,140,42,1,10,241,92,1041
Francisco,Rodriguez,rodrf003,149,47,6,22,280,93,1065
Wandy,Rodriguez,rodrw002,414,128,14,72,529,283,2764
Esmil,Rogers,rogee002,298,80,14,47,308,222,1683
Ricky,Romero,romer002,379,128,3,64,481,270,2668
Tyson,Ross,rosst001,202,42,4,20,221,121,1160
James,Russell,russj003,141,61,7,35,177,149,1017
CC,Sabathia,sabac001,619,179,11,93,844,396,3904
Chris,Sale,salec001,286,80,2,50,529,164,2018
Jeff,Samardzija,samaj001,295,89,14,54,490,227,2117
Anibal,Sanchez,sanca004,539,134,29,64,769,307,3392
Jonathan,Sanchez,sancj002,207,76,12,50,389,189,1744
Ervin,Santana,sante001,498,155,12,118,641,369,3525
Johan,Santana,santj003,200,59,4,33,255,128,1316
Joe,Saunders,saunj001,577,186,20,100,451,380,3378
Max,Scherzer,schem001,485,146,27,93,903,332,3483
James,Shields,shiej002,594,157,19,106,839,361,3807
Alfredo,Simon,simoa001,198,77,8,35,236,152,1360
Kevin,Slowey,slowk001,223,79,11,43,226,158,1314
Craig,Stammen,stamc001,205,68,9,25,266,144,1331
Tim,Stauffer,staut001,210,65,5,31,258,120,1410
Stephen,Strasburg,stras001,249,53,5,36,504,147,1745
Eric,Stults,stule002,217,65,11,29,193,136,1323
Anthony,Swarzak,swara001,218,51,6,31,186,146,1241
Hisanori,Takahashi,takah001,140,55,2,29,221,121,1023
Chris,Tillman,tillc001,227,85,7,59,322,187,1715
Josh,Tomlin,tomlj001,211,79,15,52,188,180,1423
Jason,Vargas,vargj001,500,152,11,92,497,313,3198
Javier,Vazquez,vazqj001,198,73,9,53,283,176,1481
Jose,Veras,veraj001,133,36,5,23,281,106,1080
Justin,Verlander,verlj001,559,153,18,83,1010,334,4054
Carlos,Villanueva,villc001,239,79,8,55,360,189,1730
Ryan,Vogelsong,voger001,328,87,13,47,385,198,2106
Edinson,Volquez,volqe001,335,114,15,58,487,274,2354
Chris,Volstad,volsc001,359,103,11,57,283,261,2031
Adam,Wainwright,waina001,455,129,19,50,670,249,2897
Tim,Wakefield,waket001,183,84,5,44,177,181,1287
Jered,Weaver,weavj003,433,134,8,80,690,246,3204
Ryan,Webb,webbr001,184,49,11,10,173,129,1069
Randy,Wells,wellr001,262,76,4,43,240,181,1568
Jake,Westbrook,westj001,531,130,20,55,382,324,2951
Jerome,Williams,willj003,238,71,10,46,233,177,1484
C.J.,Wilson,wilsc004,536,160,13,70,780,342,3774
Randy,Wolf,wolfr001,410,134,14,79,388,291,2586
Travis,Wood,woodt004,307,121,10,62,428,226,2363
Vance,Worley,worlv001,243,82,6,32,263,152,1434
Jamey,Wright,wrigj001,191,44,3,15,196,133,1141
Carlos,Zambrano,zambc001,289,63,9,35,313,204,1795
Brad,Ziegler,ziegb001,176,38,3,9,171,112,1063
Jordan,Zimmermann,zimmj003,375,126,11,58,470,217,2484
Barry,Zito,zitob001,396,130,14,70,395,280,2547
