first,last,Tossing_Percentage,era
Carlos,Marmol,0.13068,4.0282
Clayton,Kershaw,0.15888,2.3639
David,Robertson,0.16516,3.7629
Yu,Darvish,0.19626,3.1425
Stephen,Strasburg,0.19828,3.0068
Tyler,Clippard,0.22752,3.7324
Grant,Balfour,0.23397,3.1429
Joaquin,Benoit,0.23840,3.7016
Chris,Sale,0.25496,2.8828
John,Axford,0.25650,3.7196
Fernando,Rodney,0.26273,3.6000
Justin,Verlander,0.26443,2.9471
Jonathan,Papelbon,0.27130,3.7412
Gio,Gonzalez,0.27250,2.9676
Brandon,Beachy,0.27666,2.9681
Francisco,Rodriguez,0.28263,3.4875
Felix,Hernandez,0.28355,2.9648
Jose,Veras,0.29120,4.0769
Joel,Peralta,0.29423,3.8136
David,Hernandez,0.29515,3.7794
Luke,Gregerson,0.30409,3.6215
Jered,Weaver,0.31024,2.6869
Cliff,Lee,0.31089,2.9104
Cole,Hamels,0.32734,3.0369
David,Price,0.32843,3.0000
Adam,Wainwright,0.33172,3.0531
Tim,Lincecum,0.33692,3.4569
Sam,LeCure,0.33851,3.6456
Madison,Bumgarner,0.34024,3.0456
Mat,Latos,0.34161,3.1370
Matt,Moore,0.34526,3.4634
Max,Scherzer,0.34554,3.4110
Josh,Johnson,0.34893,3.3453
Roy,Halladay,0.35364,3.1039
Matt,Cain,0.35701,2.9903
Alex,Cobb,0.35970,2.9752
Anibal,Sanchez,0.36100,3.3169
Francisco,Liriano,0.36229,3.6943
C.J.,Wilson,0.36380,3.3026
Heath,Bell,0.36413,3.8929
Hisashi,Iwakuma,0.36606,2.8300
Kris,Medlen,0.37643,2.9360
Lance,Lynn,0.38291,3.6774
Clay,Buchholz,0.38954,2.9950
Johnny,Cueto,0.39218,2.9954
Zack,Greinke,0.39668,3.4797
Andrew,Cashner,0.39916,3.4759
Yovani,Gallardo,0.39997,3.6903
Jon,Lester,0.40384,3.5591
Tim,Stauffer,0.40567,3.1124
Josh,Collmenter,0.40932,3.1629
James,Shields,0.41358,3.4092
Alexi,Ogando,0.41590,3.7099
Ubaldo,Jimenez,0.41677,3.8090
Tim,Hudson,0.42378,3.1339
Jordan,Zimmermann,0.42472,3.1399
Jeff,Samardzija,0.42702,4.0536
Chad,Billingsley,0.43063,3.6192
Hiroki,Kuroda,0.43135,3.1624
Justin,Masterson,0.43345,3.7455
Brett,Anderson,0.43387,3.4021
CC,Sabathia,0.43545,3.7125
Brandon,Morrow,0.43704,4.1749
Jarrod,Parker,0.43735,3.1991
Matt,Garza,0.43878,3.6130
Joe,Kelly,0.43907,3.1805
Colby,Lewis,0.43926,3.5440
Jonathan,Sanchez,0.44008,4.0597
Chris,Carpenter,0.44011,3.4426
R.A.,Dickey,0.44131,3.3581
Jhoulis,Chacin,0.44407,3.5237
Patrick,Corbin,0.44444,3.3853
Ryan,Vogelsong,0.44801,3.4737
Andy,Pettitte,0.44864,3.2802
Johan,Santana,0.44947,3.5556
Doug,Fister,0.44961,3.2816
Jaime,Garcia,0.45000,3.5969
Homer,Bailey,0.45361,3.7020
Ian,Kennedy,0.45434,3.6983
Tyson,Ross,0.45733,3.8345
Felipe,Paulino,0.45794,4.1143
Craig,Breslow,0.45814,4.5000
Jorge,"de la Rosa",0.45899,3.5903
Marco,Estrada,0.45942,4.0607
Brad,Ziegler,0.45955,4.7103
Travis,Wood,0.46085,3.4651
Tom,Gorzelanny,0.46093,3.9582
Mike,Minor,0.46297,3.6236
Tommy,Hanson,0.46365,3.8803
Edward,Mujica,0.46464,3.7000
Jim,Johnson,0.46813,3.9836
Ryan,Dempster,0.46892,3.9759
Ricky,Romero,0.47170,3.7442
Roy,Oswalt,0.47184,3.7358
Daniel,Hudson,0.47202,3.5952
Trevor,Cahill,0.47468,3.5448
A.J.,Burnett,0.47681,4.0500
Mitchell,Boggs,0.48303,4.1923
Jake,Peavy,0.48406,3.8406
Wandy,Rodriguez,0.48426,3.8072
Craig,Stammen,0.48460,4.2078
Scott,Baker,0.48470,3.5569
Ted,Lilly,0.48655,3.7104
Nathan,Eovaldi,0.49064,3.6468
Wade,Miley,0.49237,3.4324
Erik,Bedard,0.49262,4.3081
Miguel,Gonzalez,0.49488,3.5324
Carlos,Villanueva,0.49538,4.1488
James,McDonald,0.49581,4.0998
Bud,Norris,0.49648,4.2652
Jose,Quintana,0.49679,3.4872
Jonathon,Niese,0.49739,3.8757
Jeff,Niemann,0.49796,3.6829
Derek,Holland,0.50017,3.9103
Dan,Haren,0.50117,3.7527
Bartolo,Colon,0.50376,3.3472
Ivan,Nova,0.50421,3.6032
Manny,Parra,0.50732,5.0431
Gavin,Floyd,0.50885,3.9552
Matt,Belisle,0.50951,4.7647
Dillon,Gee,0.51002,3.7904
Jeremy,Hellickson,0.51053,3.5288
Shaun,Marcum,0.51067,4.0145
Edinson,Volquez,0.51211,4.5082
Hisanori,Takahashi,0.51271,4.8400
Jamey,Wright,0.51358,4.9259
Wilton,Lopez,0.51534,4.4280
Carlos,Zambrano,0.51727,4.3714
Ervin,Santana,0.51929,3.8216
Chris,Capuano,0.52051,3.8285
Josh,Beckett,0.52358,4.2065
Brandon,League,0.52709,4.4825
Felix,Doubront,0.52781,4.5354
Wei-Yin,Chen,0.52960,3.7268
Matt,Harrison,0.52992,3.7140
Alfredo,Aceves,0.53072,4.5769
Chad,Gaudin,0.53149,4.6723
Vance,Worley,0.53452,4.0593
Jason,Vargas,0.53518,3.5613
Chris,Tillman,0.53586,3.9415
J.A.,Happ,0.53739,4.4111
Brandon,McCarthy,0.53802,3.5958
Wade,Davis,0.53976,3.9914
Ross,Detwiler,0.54135,3.7043
Edwin,Jackson,0.54582,4.1739
Kyle,Lohse,0.54830,3.6145
Randall,Delgado,0.55093,3.7708
Tom,Milone,0.55367,3.8769
Jason,Hammel,0.55625,4.0947
Chris,Narveson,0.56312,4.2775
John,Danks,0.56448,4.0184
Daisuke,Matsuzaka,0.56477,4.7304
Alfredo,Simon,0.56618,4.4560
Ricky,Nolasco,0.56642,4.1609
Eric,Stults,0.56727,3.7662
Brett,Myers,0.56998,4.2363
Kyle,McClellan,0.57074,4.0081
Brett,Cecil,0.57171,4.3624
Ryan,Webb,0.57203,5.5286
Phil,Coke,0.57944,5.0400
Aaron,Harang,0.58027,4.2067
Paul,Maholm,0.58029,3.9805
Javier,Vazquez,0.58238,4.3516
John,Lackey,0.58320,4.2516
Jon,Garland,0.58321,4.0884
Bruce,Chen,0.58349,3.9906
Luke,Hochevar,0.58798,4.3746
Phil,Hughes,0.58910,4.2450
Zach,McAllister,0.59080,4.4232
Barry,Zito,0.59109,4.0645
Brian,Matusz,0.59162,4.5342
Jair,Jurrjens,0.59242,3.7478
Mark,Buehrle,0.59497,3.7917
Burke,Badenhop,0.59553,5.1000
Mike,Leake,0.59680,3.9247
Matt,Albers,0.59804,5.8347
Mike,Pelfrey,0.59824,3.9866
Lucas,Harrell,0.60351,4.6228
Scott,Kazmir,0.60417,4.5273
Charlie,Morton,0.60471,4.5818
Zachary,Britton,0.60733,4.5000
Jake,Westbrook,0.60793,4.1420
John,Lannan,0.60955,4.0000
Juan,Nicasio,0.60961,4.4851
Scott,Feldman,0.60991,4.4381
Randy,Wells,0.61352,4.3440
Jake,Arrieta,0.61607,4.7734
Anthony,Swarzak,0.61805,4.6268
Wade,LeBlanc,0.62011,4.2250
Vin,Mazzaro,0.62085,4.5662
Clayton,Richard,0.62146,4.0500
Derek,Lowe,0.62339,4.4684
Randy,Wolf,0.62568,4.2794
Brian,Duensing,0.62681,4.5875
Bronson,Arroyo,0.62965,3.9126
Jeff,Karstens,0.63003,4.0488
Freddy,Garcia,0.63219,4.1207
Tyler,Chatwood,0.63400,4.3776
Luis,Mendoza,0.63644,4.2407
Jerome,Williams,0.64185,4.4006
Fausto,Carmona,0.64433,4.3710
Rick,Porcello,0.64509,4.3556
Kyle,Kendrick,0.64543,4.2588
Philip,Humber,0.64554,4.8879
Livan,Hernandez,0.64698,4.2976
Ross,Ohlendorf,0.64983,4.6171
Jeremy,Guthrie,0.65117,4.1697
Tommy,Hunter,0.65418,4.1416
Kevin,Millwood,0.65744,4.6826
Kevin,Correia,0.65863,4.2438
Esmil,Rogers,0.66191,5.3138
Henderson,Alvarez,0.66577,4.1178
Joe,Saunders,0.66681,4.1707
Kevin,Slowey,0.66895,4.4577
Jason,Marquis,0.67130,4.5000
Joel,Pineiro,0.67194,4.0673
Jeanmar,Gomez,0.67730,4.6500
Joe,Blanton,0.67938,4.7896
Shawn,Camp,0.69610,5.3832
Dallas,Keuchel,0.69924,4.8929
Carl,Pavano,0.70167,4.2524
Chris,Volstad,0.71172,4.9142
Chad,Qualls,0.71243,5.9345
Kyle,Davies,0.71532,5.2414
Jordan,Lyles,0.71942,5.1332
Scott,Diamond,0.72434,4.2750
Jeff,Francis,0.73889,4.9290
James,Russell,0.74189,6.2083
Blake,Beavan,0.74281,4.3188
Josh,Tomlin,0.74491,4.6023
Rodrigo,Lopez,0.77296,4.8857
Tim,Wakefield,0.77739,5.3762
Zach,Duke,0.79779,5.3505
Brad,Bergesen,0.80728,5.2258
Brad,Penny,0.81557,5.0645
Aaron,Cook,0.81742,5.1851
Nick,Blackburn,0.86524,5.2867
